key,messages,texts,en,ar,bg,bs,ca,cs,cy,da,de,el,es-ES,es-MX,et,fi,fr,he,hr,hu,id,it,ja,ko,lt,lv,ms,nl,no,pl,pt-BR,pt-PT,ro,ru,sk,sl,sr,sv-SE,th,tr,uk,vi,zh-CN,zh-TW
appEnabled,true,false,App enabled,تم تمكين التطبيق,Приложението е активирано,Aplikacija je omogućena,Aplicació habilitada,Aplikace povolena,Ap wedi ei alluogi,App aktiveret,App aktiviert,Η εφαρμογή ενεργοποιήθηκε,Aplicación habilitada,Aplicación habilitada,Rakendus sisse lülitatud,Sovellus on otettu käyttöön,Application activée,היישום מופעל,Aplikacija je omogućena,Alkalmazás engedélyezve,Aplikasi diaktifkan,App attivata,アプリを有効にしました,앱이 활성화되었습니다,Programėlė įgalinta,Programma ir iespējota,Aplikasi didayakan,App ingeschakeld,Appen er aktivert,Aplikacja włączona,Aplicativo habilitado,App ativada,Aplicație activată,Приложение включено,Aplikácia bola aktivovaná,Aplikacija omogočena,Апликација је активирана,App aktiverad,เปิดใช้งานแอปแล้ว,Uygulama etkinleştirildi,Застосунок увімкнено,Đã bật ứng dụng,已启用应用,已啟用APP
appDisabled,true,false,App disabled,تم تعطيل التطبيق,Приложението е деактивирано,Aplikacija je onemogućena,Aplicació deshabilitada,Aplikace zakázána,Ap wedi ei analluogi,App deaktiveret,App deaktiviert,Η εφαρμογή απενεργοποιήθηκε,Aplicación deshabilitada,Aplicación deshabilitada,Rakendus välja lülitatud,Sovellus on poistettu käytöstä,Application désactivée,היישום מושבת,Aplikacija je onemogućena,Alkalmazás letiltva,Aplikasi dinonaktifkan,App disattivata,アプリを無効にしました,앱이 비활성화되었습니다,Programėlė išjungta,Programma ir atspējota,Aplikasi dinyahdayakan,App uitgeschakeld,Appen er deaktivert,Aplikacja wyłączona,Aplicativo desabilitado,App desativada,Aplicație dezactivată,Приложение отключено,Aplikácia bola deaktivovaná,Aplikacija onemogočena,Апликација је деактивирана,App inaktiverad,ปิดใช้งานแอปแล้ว,Uygulama devre dışı bırakıldı,Застосунок вимкнуто,Đã tắt ứng dụng,已禁用应用,已停用 APP
appInstalled,true,false,App installed,تم تثبيت التطبيق,Приложението е инсталирано,Aplikacija je instalirana,Aplicació instal·lada,Aplikace nainstalována,Ap wedi ei osod,App installeret,App installiert,Η εφαρμογή εγκαταστάθηκε,Aplicación instalada,Aplicación instalada,Rakendus paigaldatud,Sovellus on asennettu,Application installée,היישום הותקן,Aplikacija je instalirana,Alkalmazás telepítve,Aplikasi diinstal,App installata,アプリをインストールしました,앱이 설치되었습니다,Programėlė įdiegta,Programma ir instalēta,Aplikasi dipasang,App geïnstalleerd,Appen er installert,Aplikacja zainstalowana,Aplicativo instalado,App instalada,Aplicație instalată,Приложение установлено,Aplikácia bola nainštalovaná,Aplikacija nameščena,Апликација је инсталирана,Appen installerades,ติดตั้งแอปแล้ว,Uygulama yüklendi,Застосунок встановлено,Đã cài đặt ứng dụng,已安装应用,已安裝 APP
appUninstalled,true,false,App uninstalled,تم إلغاء تثبيت التطبيق,Приложението е деинсталирано,Aplikacija je deinstalirana,Aplicació desinstal·lada,Aplikace odinstalována,Ap wedi ei ddad-osod,App afinstalleret,App deinstalliert,Η εφαρμογή απεγκαταστάθηκε,Aplicación desinstalada,Aplicación desinstalada,Rakendus maha laaditud,Sovellus on poistettu,Application désinstallée,התקנת היישום הוסרה,Aplikacija je deinstalirana,Alkalmazás eltávolítva,Aplikasi dicopot,App disinstallata,アプリをアンインストールしました,앱이 삭제되었습니다,Programėlė pašalinta,Programma ir atinstalēta,Aplikasi dinyahpasang,App verwijderd,Appen er avinstallert,Aplikacja odinstalowana,Aplicativo desinstalado,App desinstalada,Aplicație dezinstalată,Приложение удалено,Aplikácia bola odinštalovaná,Aplikacija odstranjena,Апликација је деинсталирана,Appen avinstallerades,ถอนการติดตั้งแอปแล้ว,Uygulama kaldırıldı,Застосунок видалено,Đã gỡ cài đặt ứng dụng,已卸载应用,已解除安裝 APP
appUpdated,true,false,App updated,تم تحديث التطبيق,Приложението е актуализирано,Aplikacija je ažurirana,Aplicació actualitzada,Aplikace aktualizována,Ap wedi ei ddiweddaru,App opdateret,App aktualisiert,Η εφαρμογή ενημερώθηκε,Aplicación actualizada,Aplicación actualizada,Rakendus uuendatud,Sovellus päivitettiin,Application mise à jour,היישום עודכן,Aplikacija je ažurirana,Alkalmazás frissítve,Aplikasi diperbarui,App aggiornata,アプリを更新しました,앱이 업데이트되었습니다,Programėlė atnaujinta,Programma ir atjaunināta,Aplikasi dikemaskini,App bijgewerkt,Appen er oppdatert,Aplikacja zaktualizowana,Aplicativo atualizado,App atualizada,Aplicație actualizată,Приложение обновлено,Aplikácia bola aktualizovaná,Aplikacija posodobljena,Апликација је ажурирана,Appen uppdaterades,อัปเดตแอปแล้ว,Uygulama güncellendi,Застосунок оновлено,Đã cập nhật ứng dụng,已更新应用,已更新 APP
settingsUpdated,true,false,Settings updated,تم تحديث الإعدادات,Настройките са актуализирани,Postavke su ažurirane,Configuració actualitzada,Nastavení aktualizováno,Gosodiadau wedi eu diweddaru,Indstillinger opdateret,Einstellungen aktualisiert,Οι ρυθμίσεις ενημερώθηκαν,Configuración actualizada,Configuración actualizada,Seaded uuendatud,Asetukset päivitettiin,Paramètres mis à jour,ההגדרות עודכנו,Postavke su ažurirane,Beállítások frissítve,Pengaturan diperbarui,Impostazioni aggiornate,設定を更新しました,설정이 업데이트되었습니다,Nustatymai atnaujinti,Iestatījumi ir atjaunināti,Tetapan telah dikemaskini,Instellingen bijgewerkt,Innstillingene er oppdatert,Zaktualizowano ustawienia,Configurações atualizadas,Definições atualizadas,Setări actualizate,Настройки обновлены,Nastavenia boli aktualizované,Nastavitve posodobljene,Подешавања су ажурирана,Inställningarna uppdaterades,อัปเดตการตั้งค่าแล้ว,Ayarlar güncellendi,Настройки оновлено,Đã cập nhật thiết lập,已更新设置,已更新設定
renderError,true,false,"There was an error while rendering data. If this issue persists, please contact support.",حدث خطأ أثناء تقديم البيانات. في حال استمرت هذه المشكلة، يرجى الاتصال بالدعم.,"Възникна грешка при визуализирането на данни. Ако този проблем продължава, моля свържете се с екипа за поддръжка.","Došlo je do pogreške prilikom prikazivanja podataka. Ako se ovaj problem nastavi, kontaktirajte podršku.","S'ha produït un error en renderitzar les dades. Si aquest problema continua, posa't en contacte amb suport.","Při vykreslování dat došlo k chybě. Pokud tento problém přetrvává, kontaktujte prosím podporu.","Roedd gwall wrth rendro'r data. Os bydd y mater yn parhau, cysylltwch â cymorth.","Der opstod en fejl under indlæsningen af data. Hvis dette problem fortsætter, bedes du kontakte support.","Bei der Wiedergabe der Daten ist ein Fehler aufgetreten. Wenn das Problem weiterhin besteht, wenden Sie sich an den Support.","Παρουσιάστηκε ένα σφάλμα κατά τη συλλογή δεδομένων. Εάν αυτό το ζήτημα παραμένει, παρακαλούμε επικοινωνήστε με την υποστήριξη.","Se ha producido un error durante la renderización de los datos. Si este problema persiste, por favor, póngase en contacto con soporte.","Ocurrió un error al renderizar los datos. Si este problema persiste, póngase en contacto con el soporte técnico.","Andmete esitamisel ilmnes viga. Kui probleem jätkub, võta palun ühendust klienditeenindusega.","Tietojen hahmonnuksessa tapahtui virhe. Jos ongelma jatkuu, ota yhteyttä tukeen.","Une erreur s'est produite lors du rendu des données. Si ce problème persiste, veuillez contacter le support.","אירעה שגיאה במהלך עיבוד הנתונים. אם הבעיה נמשכת, צור קשר עם התמיכה.","Došlo je do pogreške prilikom prikazivanja podataka. Ako se problem nastavi pojavljivati, molimo kontaktirajte podršku.","Az adatok megjelenítésekor hiba történt. Ha a probléma továbbra is fennáll, kérem, vegye fel a kapcsolatot az ügyfélszolgálattal.","Terjadi kesalahan saat merender data. Jika masalah ini terus berlanjut, hubungi dukungan.","Si è verificato un errore durante il rendering dei dati. Se il problema persiste, contatta l’assistenza.",データのレンダリング中にエラーが発生しました。問題が解決しない場合はサポートまでご連絡下さい。,데이터를 렌더링하는 중 오류가 발생했습니다. 이 문제가 계속되면 지원팀에 문의해주세요.,"Įvyko klaida pateikiant duomenis. Jei ši problema išlieka, susisiekite su klientų aptarnavimo tarnyba.","Nodrošinot datus, radās kļūda. Ja problēma saglabājas, lūdzu, sazinieties ar atbalsta centru.","Terdapat satu ralat semasa membuat data. Sekiranya isu ini berterusan, sila hubungi sokongan.",Er is een fout opgetreden bij het weergeven van gegevens. Neem contact op met ondersteuning als dit probleem aanhoudt.,Det oppstod en feil under gjengivelse av dataen. Kontakt kundestøtte hvis dette problemet vedvarer.,"Wystąpił błąd podczas renderowania danych. Jeśli problem będzie nadal występował, skontaktuj się z obsługą.","Houve um erro durante o processamento dos dados. Se o problema persistir, entre em contato com o suporte.","Ocorreu um erro durante o tratamento de dados. Se este problema continuar, contacte o apoio.","A apărut o eroare în timpul redării datelor. Dacă această problemă persistă, contactați serviciul de asistență.","При визуализации данных произошла ошибка. Если проблема не решится, обратитесь в поддержку.","Pri vykresľovaní údajov sa vyskytla chyba. Ak tento problém pretrváva, kontaktujte podporu.","Pri prikazovanju podatkov je prišlo do napake. Če težava ne bo odpravljena, se obrnite na podporo.","Дошло је до грешке приликом приказивања података. Ако се овај проблем настави, контактирајте подршку.",Ett fel inträffade vid tolkning av datan. Kontakta supporten om problemet kvarstår.,เกิดข้อผิดพลาดขณะแสดงข้อมูล หากปัญหานี้ยังดำเนินต่อไป โปรดติดต่อฝ่ายสนับสนุน,"Veriler işlenirken bir hata oluştu. Bu sorun devam ederse, lütfen destekle iletişime geçin.","Під час обробки даних виникла помилка. Якщо ця проблема не зникне, зверніться до служби підтримки.","Đã xảy ra lỗi khi kết xuất dữ liệu. Nếu vấn đề này tiếp diễn, vui lòng liên hệ bộ phận hỗ trợ.",渲染数据时出错。如问题依然存在，请联系支持团队。,匯報數據時發生錯誤。若此問題持續發生，請與支援團隊聯繫。
getInstalledConfigsError,true,false,"There was an error while retrieving installed configurations. If this issue persists, please contact support.",حدث خطأ أثناء استرداد التهيئات المثبتة. في حال استمرت هذه المشكلة، يرجى الاتصال بالدعم.,"Възникна грешка при извличането на инсталирани конфигурации. Ако този проблем продължава, моля свържете се с екипа за поддръжка.","Došlo je do pogreške prilikom pronalaženja instaliranih konfiguracija. Ako se ovaj problem nastavi, kontaktirajte podršku.","S'ha produït un error en recuperar les configuracions instal·lades. Si aquest problema continua, posa't en contacte amb suport.","Při načítání nainstalovaných konfigurací došlo k chybě. Pokud tento problém přetrvává, kontaktujte prosím podporu.","Roedd gwall wrth adalw ffurfweddiadau sydd wedi eu gosod. Os bydd y mater yn parhau, cysylltwch â cymorth.","Der opstod en fejl under indlæsningen af installerede konfigurationer. Hvis dette problem fortsætter, bedes du kontakte support.","Beim Abrufen der installierten Konfigurationen ist ein Fehler aufgetreten. Wenn das Problem weiterhin besteht, wenden Sie sich an den Support.","Παρουσιάστηκε ένα σφάλμα κατά την ανάκτηση των εγκατεστημένων ρυθμίσεων. Εάν το ζήτημα παραμένει, παρακαλούμε επικοινωνήστε με την υποστήριξη.","Se ha producido un error durante la recuperación de las configuraciones instaladas. Si este problema persiste, por favor póngase en contacto con soporte.","Ocurrió un error al recuperar las configuraciones instaladas. Si este problema persiste, póngase en contacto con el soporte técnico.","Paigaldatud konfiguratsioonide hankimisel tekkis viga. Kui probleem jätkub, võta palun ühendust klienditeenindusega.","Asennettujen konfiguraatioiden noudossa tapahtui virhe. Jos ongelma jatkuu, ota yhteyttä tukeen.","Une erreur s'est produite lors de la récupération des configurations installées. Si ce problème persiste, veuillez contacter le support.","אירעה שגיאה בעת אחזור תצורות מותקנות. אם הבעיה נמשכת, צור קשר עם התמיכה.","Došlo je do pogreške prilikom dohvaćanja instaliranih konfiguracija. Ako se problem nastavi pojavljivati, molimo kontaktirajte podršku.","A telepített konfigurációk visszakeresésekor hiba történt. Ha a probléma továbbra is fennáll, kérem, vegye fel a kapcsolatot az ügyfélszolgálattal.","Terjadi kesalahan saat mengambil konfigurasi yang diinstal. Jika masalah ini terus berlanjut, hubungi dukungan.","Si è verificato un errore durante il recupero delle configurazioni installate. Se il problema persiste, contatta l’assistenza.",インストール済み構成の取得中にエラーが発生しました。問題が解決しない場合はサポートまでご連絡ください。,설치된 구성을 가져오는 중 오류가 발생했습니다. 이 문제가 계속되면 지원팀에 문의해주세요.,"Įvyko klaida atstatant įrašytus nustatymus. Jei ši problema išlieka, susisiekite su klientų aptarnavimo tarnyba.","Iegūstot instalētās konfigurācijas, radās kļūda. Ja problēma saglabājas, lūdzu, sazinieties ar atbalsta centru.","Terdapat satu ralat ketika mendapatkan kembali konfigurasi yang dipasang. Sekiranya isu ini berterusan, sila hubungi sokongan.",Er is een fout opgetreden bij het ophalen van geïnstalleerde configuraties. Neem contact op met ondersteuning als dit probleem aanhoudt.,Det oppstod en feil under gjengivelse av installerte konfigurasjoner. Kontakt kundestøtte hvis dette problemet vedvarer.,"Wystąpił błąd podczas pobierania zainstalowanych konfiguracji. Jeśli problem będzie nadal występował, skontaktuj się z obsługą.","Houve um erro durante a recuperação das configurações instaladas. Se o problema persistir, entre em contato com o suporte.","Ocorreu um erro ao recuperar as definições instaladas. Se este problema continuar, contacte o apoio.","A apărut o eroare în timpul preluării configurărilor instalate. Dacă această problemă persistă, vă rugăm să contactați serviciul de asistență.","При извлечении установленных конфигураций произошла ошибка. Если проблема не решится, обратитесь в поддержку.","Pri načítavaní nainštalovaných konfigurácií sa vyskytla chyba. Ak tento problém pretrváva, kontaktujte podporu.","Pri pridobivanju naloženih konfiguracij je prišlo do napake. Če težava ne bo odpravljena, se obrnite na podporo.","Дошло је до грешке приликом проналажења инсталираних конфигурација. Ако се овај проблем настави, контактирајте подршку.",Ett fel inträffade vid hämtning av installerade konfigurationer. Kontakta supporten om problemet kvarstår.,เกิดข้อผิดพลาดขณะกู้คืนการกำหนดค่าที่ได้รับการติดตั้ง หากปัญหานี้ยังดำเนินต่อไป โปรดติดต่อฝ่ายสนับสนุน,"Yüklenmiş yapılandırmalar alınırken bir hata oluştu. Bu sorun devam ederse, lütfen destekle iletişime geçin.","Під час отримання встановленої конфігурації виникла помилка. Якщо ця проблема не зникне, зверніться до служби підтримки.","Đã xảy ra lỗi khi truy xuất các cấu hình đã cài đặt. Nếu vấn đề này tiếp diễn, vui lòng liên hệ bộ phận hỗ trợ.",获取已安装配置时出错。如问题依然存在，请联系支持团队。,存取已安裝的組態時發生錯誤。若此問題持續發生，請與支援團隊聯繫。
loadAppDetailsError,true,false,"There was an error while loading app details. If this issue persists, please contact support.",حدث خطأ أثناء تحميل تفاصيل التطبيق. في حال استمرت هذه المشكلة، يرجى الاتصال بالدعم.,"Възникна грешка при зареждането на данните за приложението. Ако този проблем продължава, моля свържете се с екипа за поддръжка.","Došlo je do pogreške prilikom učitavanja podataka aplikacije. Ako se ovaj problem nastavi, kontaktirajte podršku.","S'ha produït un error en carregar els detalls de l’aplicació. Si aquest problema continua, posa't en contacte amb suport.","Při načítání podrobností aplikace došlo k chybě. Pokud tento problém přetrvává, kontaktujte prosím podporu.","Roedd gwall wrth lwytho manylion yr ap. Os bydd y mater yn parhau, cysylltwch â cymorth.","Der opstod en fejl under indlæsningen af appoplysningerne. Hvis dette problem fortsætter, bedes du kontakte support.","Beim Laden der App-Details ist ein Fehler aufgetreten. Wenn das Problem weiterhin besteht, wenden Sie sich an den Support.","Παρουσιάστηκε ένα σφάλμα κατά τη φόρτωση των λεπτομερειών εφαρμογής. Εάν το ζήτημα παραμένει, παρακαλούμε επικοινωνήστε με την υποστήριξη.","Se ha producido un error durante la carga de la información de la aplicación. Si este problema persiste, por favor póngase en contacto con soporte.","Ocurrió un error al cargar los detalles de la aplicación. Si este problema persiste, póngase en contacto con el soporte técnico.","Rakenduse andmete laadimisel tekkis viga. Kui probleem jätkub, võta palun ühendust klienditeenindusega.","Sovelluksen tietojen latauksessa tapahtui virhe. Jos ongelma jatkuu, ota yhteyttä tukeen.","Une erreur s'est produite lors du chargement des détails de l'application. Si ce problème persiste, veuillez contacter le support.","אירעה שגיאה במהלך טעינת פרטי היישום. אם הבעיה נמשכת, צור קשר עם התמיכה.","Došlo je do pogreške prilikom učitavanja pojedinosti o aplikaciji. Ako se problem nastavi pojavljivati, molimo kontaktirajte podršku.","Az alkalmazás részleteinek betöltésekor hiba történt. Ha a probléma továbbra is fennáll, kérem, vegye fel a kapcsolatot az ügyfélszolgálattal.","Terjadi kesalahan saat memuat detail aplikasi. Jika masalah ini terus berlanjut, hubungi dukungan.","Si è verificato un errore durante il caricamento dei dati dell’app. Se il problema persiste, contatta l’assistenza.",アプリ詳細の読み込み中にエラーが発生しました。問題が解決しない場合はサポートまでご連絡ください。,앱 상세정보를 불러오는 중 오류가 발생했습니다. 이 문제가 계속되면 지원팀에 문의해주세요.,"Įvyko klaida įkeliant programėlės duomenis. Jei ši problema išlieka, susisiekite su klientų aptarnavimo tarnyba.","Ielādējot programmas datus, radās kļūda. Ja problēma saglabājas, lūdzu, sazinieties ar atbalsta centru.","Terdapat satu ralat semasa memuatkan butiran aplikasi. Sekiranya isu ini berterusan, sila hubungi sokongan.",Er is een fout opgetreden bij het laden van app-gegevens. Neem contact op met ondersteuning als dit probleem aanhoudt.,Det oppstod en feil under gjengivelse av appinformasjonen. Kontakt kundestøtte hvis dette problemet vedvarer.,"Wystąpił błąd podczas wczytywania danych aplikacji. Jeśli problem będzie nadal występował, skontaktuj się z obsługą.","Houve um erro durante o carregamento dos detalhes do aplicativo. Se o problema persistir, entre em contato com o suporte.","Ocorreu um erro ao carregar os detalhes da app. Se este problema continuar, contacte o apoio.","A apărut o eroare în timpul încărcării detaliilor aplicației. Dacă această problemă persistă, vă rugăm să contactați serviciul de asistență.","При загрузке данных приложения произошла ошибка. Если проблема не решится, обратитесь в поддержку.","Pri načítaní podrobností aplikácie sa vyskytla chyba. Ak tento problém pretrváva, kontaktujte podporu.","Pri nalaganju podrobnosti aplikacije je prišlo do napake. Če težava ne bo odpravljena, se obrnite na podporo.","Дошло је до грешке приликом учитавања садржаја апликације. Ако се овај проблем настави, контактирајте подршку.",Ett fel inträffade när appens detaljer skulle laddas. Kontakta supporten om problemet kvarstår.,เกิดข้อผิดพลาดขณะโหลดรายละเอียดแอป หากปัญหานี้ยังดำเนินต่อไป โปรดติดต่อฝ่ายสนับสนุน,"Uygulama detayları yüklenirken bir hata oluştu. Bu sorun devam ederse, lütfen destekle iletişime geçin.","Під час завантаження інформації про програму виникла помилка. Якщо ця проблема не зникне, зверніться до служби підтримки.","Đã xảy ra lỗi khi tải thông tin ứng dụng. Nếu vấn đề này tiếp diễn, vui lòng liên hệ bộ phận hỗ trợ.",加载应用详情时出错。如问题依然存在，请联系支持团队。,載入 APP 詳細資訊時發生錯誤。若此問題持續發生，請與支援團隊聯繫。
appEnableError,true,false,"There was an error while enabling the app. If this issue persists, please contact support.",حدث خطأ أثناء تمكين التطبيق. في حال استمرت هذه المشكلة، يرجى الاتصال بالدعم.,"Възникна грешка при активирането на приложението. Ако този проблем продължава, моля свържете се с екипа за поддръжка.","Došlo je do pogreške prilikom omogućavanja aplikacije. Ako se ovaj problem nastavi, kontaktirajte podršku.","S'ha produït un error en habilitar l’aplicació. Si aquest problema continua, posa't en contacte amb suport.","Při povolování aplikace došlo k chybě. Pokud tento problém přetrvává, kontaktujte prosím podporu.","Roedd gwall wrth alluogi'r ap. Os bydd y mater yn parhau, cysylltwch â cymorth.","Der opstod en fejl under aktivering af appen. Hvis dette problem fortsætter, bedes du kontakte support.","Beim Aktivieren der App ist ein Fehler aufgetreten. Wenn das Problem weiterhin besteht, wenden Sie sich an den Support.","Παρουσιάστηκε ένα σφάλμα κατά την ενεργοποίηση της εφαρμογής. Εάν το ζήτημα παραμένει, παρακαλούμε επικοινωνήστε με την υποστήριξη.","Se ha producido un error durante la activación de la aplicación. Si este problema persiste, por favor póngase en contacto con soporte.","Ocurrió un error al habilitar la aplicación. Si este problema persiste, póngase en contacto con el soporte técnico.","Rakenduse sisselülitamisel tekkis viga. Kui probleem jätkub, võta palun ühendust klienditeenindusega.","Sovelluksen käyttöönotossa tapahtui virhe. Jos ongelma jatkuu, ota yhteyttä tukeen.","Une erreur s'est produite lors de l'activation de l'application. Si ce problème persiste, veuillez contacter le support.","אירעה שגיאה בעת הפעלת היישום. אם הבעיה נמשכת, צור קשר עם התמיכה.","Došlo je do pogreške prilikom omogućavanja aplikacije. Ako se problem nastavi pojavljivati, molimo kontaktirajte podršku.","Az alkalmazás engedélyezésekor hiba történt. Ha a probléma továbbra is fennáll, kérem, vegye fel a kapcsolatot az ügyfélszolgálattal.","Terjadi kesalahan saat mengaktifkan aplikasi. Jika masalah ini terus berlanjut, hubungi dukungan.","Si è verificato un errore durante l’attivazione dell’app. Se il problema persiste, contatta l’assistenza.",アプリの有効化中にエラーが発生しました。問題が解決しない場合はサポートまでご連絡下さい。,"앱을 활성화하는 중 오류가 발생했습니다. 이 문제가 계속되면, 지원팀에 문의해주세요.","Įvyko klaida įgalinant programėlę. Jei ši problema išlieka, susisiekite su klientų aptarnavimo tarnyba.","Iespējojot programmu, radās kļūda. Ja problēma saglabājas, lūdzu, sazinieties ar atbalsta centru.","Terdapat satu ralat semasa mendayakan aplikasi. Sekiranya isu ini berterusan, sila hubungi sokongan.",Er is een fout opgetreden bij het inschakelen van de app. Neem contact op met ondersteuning als dit probleem aanhoudt.,Det oppstod en feil under aktivering av appen. Kontakt kundestøtte hvis dette problemet vedvarer.,"Wystąpił błąd podczas włączania aplikacji. Jeśli problem będzie nadal występował, skontaktuj się z obsługą.","Houve um erro durante a habilitação do aplicativo. Se o problema persistir, entre em contato com o suporte.","Ocorreu um erro ao ativar a app. Se este problema continuar, contacte o apoio.","A apărut o eroare la activarea aplicației. Dacă această problemă persistă, vă rugăm să contactați serviciul de asistență.","При включении приложения произошла ошибка. Если проблема не решится, обратитесь в поддержку.","Pri aktivovaní aplikácie sa vyskytla chyba. Ak tento problém pretrváva, kontaktujte podporu.","Med omogočanjem aplikacije je prišlo do napake. Če težava ne bo odpravljena, se obrnite na podporo.","Дошло је до грешке приликом активирања апликације. Ако се овај проблем настави, контактирајте подршку.",Ett fel inträffade när appen skulle aktiveras. Kontakta supporten om problemet kvarstår.,เกิดข้อผิดพลาดขณะเปิดใช้งานแอป หากปัญหานี้ยังดำเนินต่อไป โปรดติดต่อฝ่ายสนับสนุน,"Uygulamayı etkinleştirirken bir hata oluştu. Bu sorun devam ederse, lütfen destekle iletişime geçin.","Під час увімкнення програми виникла помилка. Якщо ця проблема не зникне, зверніться до служби підтримки.","Đã xảy ra lỗi khi bật ứng dụng. Nếu vấn đề này tiếp diễn, vui lòng liên hệ bộ phận hỗ trợ.",启用应用时出错。如问题依然存在，请联系支持团队。,啟用 APP 時發生錯誤。若此問題持續發生，請與支援團隊聯繫。
